id,title,url,source_type,notes
S035,MATS — About,https://www.matsprogram.org/about,primary,AI safety training/mentorship.
S036,Constellation Institute — About,https://constellation.org/about,primary,Transformative AI safety research/field-building.
S037,Center for AI Safety — About,https://safe.ai/about,primary,Societal-scale AI risk research/field-building.
S038,CHAI — About,https://humancompatible.ai/about/,primary,Academic human-compatible AI research.
S039,METR — About,https://metr.org/about,primary,Frontier AI evaluations.
S040,Redwood Research — About,https://blog.redwoodresearch.org/about,primary,Catastrophic-risk/AI control research.
S041,FAR.AI — About,https://www.far.ai/about,primary,AI safety research/grants/events.
S042,Berkeley CLTC — AI Security Initiative,https://cltc.berkeley.edu/program/ai-security-initiative/,primary,Public-interest AI security/risk.
S043,DAIR — Luddite Lab,https://labor.dair-institute.org/,primary,Worker-led AI/automation governance.
S044,Andreessen Horowitz — Techno-Optimist Manifesto,https://a16z.com/the-techno-optimist-manifesto/,primary,Explicit techno-optimist ideology.
S045,Frontier Tower — About,https://frontiertower.io/about,primary,"Vertical village, cypherpunk tech, self-governance vision."
S046,Frontier Tower — Home,https://frontiertower.io/,primary,"Citizenship, themed floors, governance/community model."
S047,SF Chronicle — Frontier Tower governance conflict,https://www.sfchronicle.com/sf/article/frontier-tower-san-francisco-22253458.php,secondary,"Reported tensions around ownership, governance, and community control."
S048,South Park Commons — About,https://blog.southparkcommons.com/about,primary,Talent-dense founder/technologist community.
S049,Cerebral Valley — About,https://cerebralvalley.ai/about,primary,"AI ecosystem-building, recruiting, events, compute brokering."
S050,Cerebral Valley AI Summit,https://www.cerebralvalley.com/,primary,Invite-only AI summit/network.
S051,Mox — Luma Calendar,https://luma.com/mox,event/calendar,"Mox describes itself as a gathering place for startups, EAs, AI safety labs, researchers, artists."
S052,Mox — 2026 Fundraiser,https://manifund.org/projects/mox-2026-fundraiser,primary/fundraising,Mox describes itself as SF's primary AI safety/EA community space.
S053,The SF Commons — About,https://www.thesfcommons.com/about,primary,Fourth place/social movement; meaning-making/community.
S054,The SF Commons — Events,https://www.thesfcommons.com/events,calendar,Public events calendar.
S055,The Embassy — Home,https://embassy-house.org/,primary,Intentional community/commons/prefigurative projects.
S056,SF Parc — Home,https://www.sfparc.com/,primary,Creative technologist hacker house; The Residency network.
S057,Mission Control — Notion,https://mission-control-sf.notion.site/Mission-Control-0675b18cdc504436ba173afeeb791994,primary/community,Long-running hacker house; Thiel Fellows origin.
S058,Business Insider — Mission Control,https://www.businessinsider.com/san-francisco-oldest-hacker-house-startups-2025-4,secondary,"Democratic voting, venture fund, Thiel Fellows history."
S059,The House by Edge & Node,https://www.thehousesanfrancisco.com/,primary,AI/crypto builder hub.
S060,Hackermap / Hacker Houses Directory,https://hackerhouses.org/,directory,Discovery directory for hacker houses and networks.
S061,AI House — Home,https://theaihouse.ai/,primary,Curated AI founder/researcher residency.
S062,Luma — SF Events,https://luma.com/sf,calendar,Broad SF event discovery.
S063,Luma — SF Tech Events,https://luma.com/discover/sf/tech,calendar,Tech event discovery.
S064,AI Events SF / Superscout,https://luma.com/ai-sf,calendar,SF Bay Area AI/startup event calendar.
S065,TechWeek.dev Calendar,https://www.techweek.dev/calendar,calendar,Curated Bay Area tech events.
S066,AI Week SF,https://aiweeksf.com/,calendar,Distributed citywide AI event week.
S067,Bay Rationality — Guide,https://www.bayrationality.com/,directory/calendar,Bay Area rationality/EA/AI safety community guide.
S068,Foresight Luma Calendar,https://luma.com/foresightinstitute,calendar,Foresight event discovery.
S069,Gray Area — Events,https://grayarea.org/visit/events/,calendar,Art/tech/counterculture events.
S070,Ai Salon & SF Intellectuals — Luma,https://luma.com/mpdhb01n,event,AI Salon + SF Intellectuals joint event.
S071,SuperHuman Society — AI Philosophy Nights,https://luma.com/tfnvta99,event,Philosophy/AI/human dignity community.
S072,AI Salon: Progress vs Flourishing,https://luma.com/b8ingzbn,event,AI Salon + SuperHuman Society + SF Commons.
S073,Mox AI Safety Coworking Day,https://luma.com/naf8xqi7,event,Mox AI safety coworking; Manifund / 80k-linked office hours.
S074,CAIS Remote Labor Index @ Mox,https://luma.com/ozoayvhe,event,CAIS event hosted at Mox.
S075,Catalyze Impact @ Lighthaven,https://luma.com/bvwva367,event,AI safety entrepreneurship at Lighthaven; MATS/Timaeus/Tampersec speakers.
S076,MC0001 Machine Consciousness Conference,https://luma.com/mc0001,event,Machine consciousness conference at Lighthaven.
S077,Vitalist Bay 2026,https://luma.com/tnap7mol,event,Longevity/cryonics/AI-bio/investor gathering at Lighthaven.
S078,Foresight Vision Weekend / Paths to Progress,https://luma.com/nk2c3vuw,event,Cross-network frontier tech/progress gathering.
S079,Progress Conference Welcome @ Lighthaven,https://luma.com/0u22lo0z,event,Progress network gathering.
S080,South Park Commons + Jason Crawford,https://luma.com/jason-crawford-spc,event,Progress studies at SPC.
S081,Ollama / Cerebral Valley / SHACK15 open-source AI meetup,https://luma.com/devs2,event,Open-source AI builder event at SHACK15.
S082,Frontier Tower AI Floor Member Meetup,https://luma.com/ai-floor-member-meetup,event,Internal AI-floor community event.
S083,Frontier Tower Intellectual Salon,https://luma.com/intellectual-salon-frontier-sf-427,event,Philosophy/science/tech salon.
S084,AI Salon: Labor,https://luma.com/ieqe3scp,event,AI/labor/techno-feudalism salon.
S085,Stop AI / LaborFest: AI in Education,https://luma.com/d1c2hvra,event,Anti-AI/labor-oriented event.
S086,Human+Tech Week Summit 2026,https://luma.com/nc47m6jy,event,Human-centered AI week.
S087,Foresight Longevity Salon,https://luma.com/i02tdpl5,event,Longevity ethics/economics/science.
S088,Long Now Events,https://longnow.org/events/,calendar,Long Now public programming.
S089,Cerebral Valley Event / About ecosystem,https://cerebralvalley.ai/about,primary,Ecosystem-building and notable collaborators.
S090,SHACK15 — Home,https://www.shack15.com/,primary,SF social/work club; use as venue/network node.
S091,Manifest — Home,https://www.manifestconference.net/,primary,Prediction markets / forecasting conference; verify current host details before stronger claims.
S092,Vitalism / Vitalist Bay,https://vitalism.io/,primary,Longevity/vitalist movement org; verify details before stronger claims.
S093,Alliance for Longevity Initiatives,https://a4li.org/,primary,Longevity policy advocacy.
S094,Catalyze Impact,https://www.catalyze-impact.org/,primary,AI safety/security org incubator.
S095,Timaeus,https://www.timaeus.co/,primary,AI safety research organization.
S096,MIRI,https://intelligence.org/,primary,Machine intelligence research/alignment lineage.
S097,SF Bay Area EA — Luma,https://luma.com/sf-bay-area-ea,calendar,Local EA public events calendar; URL should be re-verified if changed.
S098,The Commons: Resonance Salon — AI & Consciousness,https://luma.com/the-3pxw,event,AI/art/care/community salon.
S099,The Muse — Home,https://muse.community/,primary,"Intentional community blending embodiment, social impact, tech/future themes."
S100,Vibe House SF,https://www.sfvibehouse.com/,primary,Exited-founder/vibe-coding house.
S101,The Foundry — Home,https://foundry.today/,primary,SF coliving/hacker-house network.
S102,SF Chronicle — SF tech dorms,https://www.sfchronicle.com/sf/article/tech-dorms-ai-boom-20242138.php,secondary,Coliving resurgence in AI/startup scene.
S103,Business Insider — top SF hacker houses 2025,https://www.businessinsider.com/the-top-hacker-houses-in-san-francisco-for-2025-2025-4,secondary,Hacker-house landscape.
S104,DEF/ACC Hackathon at Vivarium SF,https://luma.com/def-acc-hack-sf,event,BlueDot-presented defensive AI safety/security hackathon hosted at Vivarium.
