id,name,type,cluster,location,summary,stated_philosophy,notes,source_ids
dair,Distributed AI Research Institute (DAIR),organization,critical-ai,Distributed,Independent community-rooted AI research institute; includes worker-centered AI/automation work.,community-rooted AI research; accountability,,S043
luddite-lab,Luddite Lab,project,labor-left,Distributed,DAIR project for worker-led governance and oversight of AI and automation at work.,worker-led technology governance; labor power,,S043
stop-ai-bay,Stop AI Bay Area,organization,ai-opposition,Bay Area,Local organizing group opposing or seeking to halt advanced AI development; included as a contrast node.,AI opposition / precaution,Map internal philosophy carefully; do not equate with labor movement broadly.,S085
long-now,Long Now Foundation,organization,futures,San Francisco,"Foundation promoting long-term thinking and responsibility over a 10,000-year horizon.",long-term thinking; responsibility,,S014|S088
iftf,Institute for the Future,organization,futures,Palo Alto,Long-running nonprofit futures research and foresight-training organization.,strategic foresight; futures thinking,,S019
dweb,DWeb,network,decentralization,Global / SF node,"Network connecting people, projects, and protocols working toward a private, resilient, open, decentralized web.",decentralization; privacy; openness; distributed infrastructure,,S017
burning-man,Burning Man Project,organization,counterculture,San Francisco / Nevada,Nonprofit hub of the Burning Man cultural network and participatory community principles.,participation; gifting; radical self-expression; civic engagement,Individual politics vary widely.,S018
embassy,The Embassy,community,commons-intentional,San Francisco,"Intentional community/commune explicitly exploring commons, commoning, shared surplus, and prefigurative projects.",commoning; prefigurative politics; shared life,Home and event space; avoid treating residential details as research targets.,S055
the-commons,The SF Commons,organization,meaning-community,San Francisco,"A 'fourth place' and social movement for meaning-making, self/collective exploration, and community-created programming.",inner/outer transformation; abundance mindset; playful agency,,S053|S054
the-muse,The Muse,community,intentional-community,San Francisco,"Intentional community blending embodiment, social impact, optimistic future-building, and technology-adjacent interests.",intentional community; embodiment; social impact; optimism,,S099
foresight,Foresight Institute,organization,frontier-progress,San Francisco,"Frontier science/technology nonprofit active in secure AI, neurotech, longevity, nanotech, space, and existential hope.",frontier technology; existential hope; human flourishing,,S020|S068
roots-progress,Roots of Progress Institute,organization,progress-studies,US / Bay Area network,Nonprofit building an intellectual and social progress movement around material and technological progress.,progress studies; techno-humanism,,S022|S023
astera,Astera,organization,science-philanthropy,Bay Area,Privately funded science/philanthropy organization experimenting with new institutional models for research and funding.,institutional experimentation; accelerating progress; high-leverage science,,S024
edge-city,Edge City,organization,popup-society,Global / Northern California,"Popup-village 'society incubator' for experiments across tech, science, governance, culture, crypto, biotech, and philosophy.",human flourishing; governance experimentation; techno-optimism,,S021
california-forever,California Forever,company,new-city,Solano County,Private company developing a new-city and industrial development project north of San Francisco.,building/abundance rhetoric; new-city development,,S025|S026
a16z,Andreessen Horowitz (a16z),organization,venture-capital,Bay Area,"Venture-capital firm with an unusually explicit public ideological program around technology, abundance, competition, and growth.",techno-optimism; abundance; competition; growth,Firm-level ideology should not be projected onto every employee/portfolio company.,S044
frontier-tower,Frontier Tower,organization,vertical-village,San Francisco,"16-floor frontier-tech community marketed as a self-governed vertical village spanning AI, biotech, robotics, art, longevity, and other themes.",cypherpunk tech; self-governance; network society; frontier tech,Secondary reporting documents tensions between community-governance rhetoric and ownership/control.,S045|S046|S047
spc,South Park Commons,organization,founder-network,San Francisco,"Technical community and venture fund for founders, researchers, and technologists in an exploratory '-1 to 0' stage.",talent density; exploration; founder/researcher development,,S048|S080
cerebral-valley,Cerebral Valley,organization,ai-industry-network,San Francisco / global,"AI ecosystem builder offering events, recruiting, ecosystem development, market research, and compute brokering.",AI industry ecosystem-building; frontier builder network,,S049|S050
house-edge-node,The House by Edge & Node,organization,crypto-ai-hub,San Francisco,Curated AI/crypto builder hub in the Presidio run by Edge & Node.,AI/crypto building; network density; emerging tech,,S059
agi-house,AGI House,organization,ai-builder-network,Bay Area,AI builder/research community and event network.,AI building; founder/researcher community,,S027
ai-house,The AI House,organization,ai-builder-network,San Francisco,"Curated residency for AI founders, researchers, and creators with coworking, cohorts, hackathons, and fundraising support.",AI building; founder acceleration,,S061
sf-parc,SF Parc,community,hacker-house,San Francisco,"Creative-technologist hacker house in The Residency network, blending engineers, researchers, artists, and startup-building.",creative technology; human collaboration; ambitious building,,S056
mission-control,Mission Control,community,hacker-house,San Francisco,Long-running founder/hacker house started by Thiel Fellows; community governance by resident voting is reported.,builder culture; communal governance,Origin does not imply current residents share Thiel's politics.,S057|S058
vibe-house,Vibe House SF,community,hacker-house,San Francisco,"Curated space for exited/technical founders focused on 'vibe coding', performance, and builder culture.",founder elitism/selection; performance optimization; AI building,,S100
foundry,The Foundry,company,coliving,San Francisco,Multi-house coliving network serving people seeking deep work and community.,deep work; community,,S101
shack15,SHACK15,organization,social-club-tech,San Francisco,Private social/work club in the Ferry Building frequently used for startup and AI ecosystem events.,professional network / social club,Treat primarily as venue/network infrastructure unless stronger ideological evidence emerges.,S081|S090
effective-altruism,Effective Altruism,movement,ea,Global,Philosophy and movement using reason and evidence to identify highly effective ways to help others.,cause prioritization; effectiveness; evidence and reason,,S031
coefficient,Coefficient Giving (formerly Open Philanthropy),organization,ea-philanthropy,US / global,Large philanthropic funder using cause prioritization and cost-effectiveness across multiple cause areas including advanced AI risk.,high-impact philanthropy; cause prioritization; cost-effectiveness,,S032
80000-hours,"80,000 Hours",organization,ea-field-building,Global,"Career-research and advising organization focused on high-impact work, with major emphasis on advanced AI.",high-impact careers; EA; advanced-AI risk,,S033
bluedot,BlueDot Impact,organization,ai-safety-field-building,San Francisco / London,"AI safety talent accelerator running courses, grants, recruitment/placement, incubator programs, and field-building.",advanced-AI risk; AI safety; talent field-building,,S034
mats,MATS,organization,ai-safety-field-building,Berkeley / London,"Seminar and mentorship program connecting emerging researchers with AI alignment, transparency, and security mentors.",AI alignment; transparency; security,,S035
constellation,Constellation Institute,organization,ai-safety-field-building,Berkeley,"Research center and field-building institution for transformative-AI safety, incubation, fellowships, and convening.",transformative-AI safety; catastrophic-risk mitigation,,S036
cais,Center for AI Safety (CAIS),organization,ai-safety-research,San Francisco,Research and field-building nonprofit focused on societal-scale risks from advanced AI.,societal-scale AI risk; technical safety; field-building,,S037
chai,Center for Human-Compatible AI (CHAI),organization,academic-ai-safety,Berkeley,Academic research center on provably beneficial and human-compatible AI.,beneficial AI; AI control; human compatibility,,S038
metr,METR,organization,ai-evaluations,Berkeley / Bay Area,Nonprofit evaluating frontier-model autonomy and catastrophic-risk capabilities.,AI evaluations; catastrophic-risk measurement; governance,,S039
redwood,Redwood Research,organization,ai-safety-research,Berkeley,"Research nonprofit focused on catastrophic AI risks, AI control, and strategic deception.",AI control; misalignment; catastrophic-risk mitigation,,S040
far-ai,FAR.AI,organization,ai-safety-research,Berkeley,"AI-safety research nonprofit combining technical research, grants, events, and coworking.",advanced-AI safety; technical research; field-building,,S041
lightcone,Lightcone Infrastructure,organization,rationalist-infrastructure,Berkeley,501(c)(3) operating LessWrong and Lighthaven and building infrastructure for long-term intellectual progress.,rationality infrastructure; long-term future,,S028|S029
lighthaven,Lighthaven,place,rationalist-venue,Berkeley,"Berkeley campus/event venue operated by Lightcone, hosting AI safety, rationalist, progress, longevity, and adjacent events.",intellectual progress; long-term trajectory,Venue participation does not imply ideological membership.,S029
lesswrong,LessWrong,organization,rationalist,Online / Bay Area,"Online community focused on rationality, reasoning, decision-making, and historically/currently AI alignment.",rationality; Bayesian reasoning; AI alignment,,S030
miri,Machine Intelligence Research Institute (MIRI),organization,rationalist-ai-safety,Berkeley / Bay Area,Long-running AI alignment research organization with strong historical ties to the rationalist/AI-risk ecosystem.,AI alignment; existential risk,,S096
mox,Mox,organization,ea-ai-safety-space,San Francisco,"Community space/incubator describing itself as a gathering place for EAs, AI/AI-safety labs, independent researchers, builders, writers, and artists.",Effective Altruism community; AI safety field-building,Useful example of physical social infrastructure connecting EA/AI-safety to broader SF tech culture.,S051|S052
catalyze-impact,Catalyze Impact,organization,ai-safety-field-building,Bay Area / networked,Nonprofit incubator for new AI safety and security organizations.,AI safety entrepreneurship; security; field-building,,S075|S094
timaeus,Timaeus,organization,ai-safety-research,Networked,AI safety research organization appearing in Lighthaven entrepreneurship programming.,AI safety / interpretability,Dedicated primary-source profile should be expanded.,S075|S095
ai-salon,AI Salon,community,philosophy-ai,San Francisco / global,"Community founded in San Francisco for intimate discussions about the sociological, economic, cultural, and philosophical meaning of AI.",pluralist AI discourse; sociotechnical reflection,,S070|S084
sf-intellectuals,SF Intellectuals,community,philosophy-salon,San Francisco,"Discussion group focused on earnest inquiry across philosophy, culture, and technology.",philosophical inquiry; culture; technology,,S070
superhuman-society,SuperHuman Society,community,humanist-tech,San Francisco,"Community promoting technology designed to expand human dignity, capability, connection, and flourishing.",superhumanism; human dignity; humane futures,,S071|S072
vitalist-bay,Vitalist Bay,community,longevity,Berkeley,"Immersive longevity zone/conference ecosystem spanning longevity science, AI×bio, cryonics/biostasis, and investing.",radical longevity; healthspan extension; vitalism,,S077|S092
a4li,Alliance for Longevity Initiatives,organization,longevity-policy,US / Bay Area events,Policy advocacy organization focused on extending healthy human lifespan.,longevity policy; healthspan extension,,S093
manifest,Manifest,event-series,forecasting-markets,Berkeley / Bay Area,"Conference/community centered on prediction markets, forecasting, and adjacent rationalist/market-design culture.",forecasting; prediction markets,Needs deeper first-party sourcing in next research sprint.,S091
anarchism,Anarchism,movement,political philosophy,,Analytical movement/concept node used to group documented philosophical or institutional ties.,anti-hierarchy; voluntary association,Edges to this node require explicit evidence or are marked inferred/contextual.,
commons-horizontalism,Commons / Horizontalism,movement,organizational philosophy,,Analytical movement/concept node used to group documented philosophical or institutional ties.,commoning; shared stewardship; horizontal governance,Edges to this node require explicit evidence or are marked inferred/contextual.,
digital-civil-libertarianism,Digital Civil Libertarianism,movement,political-technical current,,Analytical movement/concept node used to group documented philosophical or institutional ties.,privacy; free expression; encryption; user autonomy,Edges to this node require explicit evidence or are marked inferred/contextual.,
public-interest-ai,Public-Interest / Sociotechnical AI,movement,research/policy field,,Analytical movement/concept node used to group documented philosophical or institutional ties.,accountability; labor; civil rights; institutions; affected communities,Edges to this node require explicit evidence or are marked inferred/contextual.,
advanced-ai-xrisk,Advanced-AI / X-Risk Safety,movement,research field,,Analytical movement/concept node used to group documented philosophical or institutional ties.,catastrophic risk; alignment; control; evaluations,Edges to this node require explicit evidence or are marked inferred/contextual.,
rationalism,Rationalist Movement,movement,intellectual movement,,Analytical movement/concept node used to group documented philosophical or institutional ties.,Bayesian rationality; epistemics; decision theory,Edges to this node require explicit evidence or are marked inferred/contextual.,
effective-altruism-movement,Effective Altruism (movement node),movement,intellectual/philanthropic movement,,Analytical movement/concept node used to group documented philosophical or institutional ties.,cause prioritization; effectiveness,Edges to this node require explicit evidence or are marked inferred/contextual.,
progress-studies,Progress Studies / Progress Movement,movement,intellectual movement,,Analytical movement/concept node used to group documented philosophical or institutional ties.,material progress; technological development,Edges to this node require explicit evidence or are marked inferred/contextual.,
techno-optimism,Techno-Optimism,movement,intellectual current,,Analytical movement/concept node used to group documented philosophical or institutional ties.,technology; abundance; growth,Edges to this node require explicit evidence or are marked inferred/contextual.,
decentralization,Decentralization / DWeb,movement,technical-political current,,Analytical movement/concept node used to group documented philosophical or institutional ties.,distributed infrastructure; privacy; open protocols,Edges to this node require explicit evidence or are marked inferred/contextual.,
cypherpunk,Cypherpunk,movement,technical-political current,,Analytical movement/concept node used to group documented philosophical or institutional ties.,cryptography; censorship resistance; privacy; permissionless systems,Edges to this node require explicit evidence or are marked inferred/contextual.,
transhumanism,Transhumanism / Human Enhancement,movement,intellectual movement,,Analytical movement/concept node used to group documented philosophical or institutional ties.,human enhancement; longevity; neurotechnology,Edges to this node require explicit evidence or are marked inferred/contextual.,
longevity-vitalism,Longevity / Vitalism,movement,movement,,Analytical movement/concept node used to group documented philosophical or institutional ties.,radical life extension; healthspan; anti-aging,Edges to this node require explicit evidence or are marked inferred/contextual.,
counterculture-tech,Tech-Counterculture,movement,cultural current,,Analytical movement/concept node used to group documented philosophical or institutional ties.,art-tech hybridity; experimentation; alternative social forms,Edges to this node require explicit evidence or are marked inferred/contextual.,
founderism,Founder / Startup Meritocracy,movement,institutional-cultural current,,Analytical movement/concept node used to group documented philosophical or institutional ties.,selection for ambition; founder agency; venture-backed scaling,Edges to this node require explicit evidence or are marked inferred/contextual.,
allison-duettmann,Allison Duettmann,person,frontier-progress,San Francisco,President/CEO of Foresight Institute.,frontier technology; existential hope,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S020
christine-peterson,Christine Peterson,person,frontier-progress,Bay Area,Co-founder of Foresight Institute.,nanotechnology; frontier technology,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S020
eric-drexler,Eric Drexler,person,frontier-progress,Bay Area,Co-founder of Foresight Institute; molecular nanotechnology figure.,nanotechnology,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S020
jason-crawford,Jason Crawford,person,progress-studies,Bay Area / US,Founder/president of Roots of Progress Institute.,progress studies; techno-humanism,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S022|S023|S080
patrick-collison,Patrick Collison,person,tech-founder,Bay Area,Stripe co-founder; advisor to Roots of Progress and investor in California Forever.,,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S022|S026
tyler-cowen,Tyler Cowen,person,progress-studies,US,Economist/writer; advisor to Roots of Progress.,,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S022
vitalik-buterin,Vitalik Buterin,person,crypto-futurism,Global / Bay Area events,Ethereum co-founder; recurring participant in popup-society/decentralization ecosystems.,,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S021
janine-leger,Janine Leger,person,popup-society,Global,Co-founder of Edge City; public-goods/community organizer.,community experimentation; public goods,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S021
timour-kosters,Timour Kosters,person,popup-society,Global,Co-founder of Edge City; startup/investor/community organizer.,community experimentation,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S021
jed-mccaleb,Jed McCaleb,person,science-philanthropy,Bay Area,Co-founder/funder of Astera.,accelerating progress,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S024
seemay-chou,Seemay Chou,person,science-philanthropy,Bay Area,Co-founder of Astera; scientist/institution builder.,science institutional reform,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S024
jan-sramek,Jan Sramek,person,new-city,Solano County,Founder and CEO of California Forever.,,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S025
tristan-harris,Tristan Harris,person,public-interest-tech,San Francisco,Co-founder and president of Center for Humane Technology.,humane technology,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S015
aza-raskin,Aza Raskin,person,public-interest-tech,San Francisco,Co-founder of Center for Humane Technology.,humane technology,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S015
josette-melchor,Josette Melchor,person,art-tech-counterculture,San Francisco,Founding executive director of Gray Area.,art-tech social transformation,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S012
catherine-bracy,Catherine Bracy,person,public-interest-tech,California,Founder/CEO of TechEquity Collaborative.,economic equity; accountable tech,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S011
eliezer-yudkowsky,Eliezer Yudkowsky,person,rationalist-ai-safety,Bay Area / online,Founder/early central writer of LessWrong and historical AI-risk/alignment figure.,rationality; AI alignment,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S030|S096
dan-hendrycks,Dan Hendrycks,person,ai-safety,San Francisco,Executive/research director of Center for AI Safety.,societal-scale AI safety,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S037
buck-shlegeris,Buck Shlegeris,person,ai-safety,Berkeley,CEO/board member of Redwood Research.,AI control; catastrophic AI risk,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S040
ryan-greenblatt,Ryan Greenblatt,person,ai-safety,Berkeley,Chief scientist at Redwood Research.,AI control; catastrophic AI risk,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S040
adam-gleave,Adam Gleave,person,ai-safety,Berkeley,Co-founder of FAR.AI and advisor/board member at METR.,AI safety,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S039|S041
jeremy-nixon,Jeremy Nixon,person,ai-builder-network,San Francisco,Publicly associated with AGI House SF in hacker-house directories/reporting.,AI research community,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S060|S103
rachel-shu,Rachel Shu,person,ea-ai-safety-space,San Francisco,Director/organizer associated with Mox's community and fundraising.,EA community; AI safety infrastructure,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S052
ian-eisenberg,Ian Eisenberg,person,philosophy-ai,San Francisco,Organizer associated with AI Salon and The SF Commons.,AI/social philosophy; community,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S053|S070
banu-kellner,Banu Kellner,person,humanist-tech,San Francisco,Founder of SuperHuman Society and author of a 'Superhumanist Manifesto'.,human dignity; human-centered technological development,"Only public, role-relevant affiliations are mapped; attendance alone is not treated as ideology.",S071|S072
cfar,Center for Applied Rationality (CFAR),organization,rationalist-infrastructure,Mostly remote,Nonprofit focused on exploring and teaching applied rationality; founded in 2012.,applied rationality; experimenting with ways of thinking,Institutional roles and fiscal sponsorship require dated verification.,S105
anna-salamon,Anna Salamon,person,rationalist-ai-safety,,CFAR co-founder (2012); listed as a MIRI director on its public team page.,,Only public professional roles are mapped.,S105|S110
luke-muehlhauser,Luke Muehlhauser,person,ea-philanthropy,,Former MIRI executive director; joined the organization now called Coefficient Giving in 2015 and is listed as managing director for AI governance and international policy.,,The funder's name changed after he joined; no private relationships are implied.,S108
ai-futures-project,AI Futures Project,organization,ai-futures-policy,,"Research nonprofit producing advanced-AI forecasts and policy scenarios, including AI 2040: Plan A.",advanced-AI forecasting and policy recommendations,The project credits external collaborators; collaboration is not proof of shared governance or funding.,S112
ai-2040-plan-a,AI 2040: Plan A,project,ai-futures-policy,Online,AI Futures Project scenario and policy proposal about slowing the race to superintelligence and coordinating AI research.,international coordination; research transparency; avoiding AI-driven power concentration,Presented by its authors as primarily a recommendation rather than a prediction.,S112|S113
